mu,xi,sigma,c,generations,extinct,final_fitness,final_variance,final_clusters,final_silhouette,speciation
0.005,0.1,2.0,0.002,50,False,0.9842157232843937,0.004375316009435514,2,1.0,True
0.005,0.1,2.0,0.002,100,False,0.9514927390395914,0.003493340843865632,2,1.0,True
0.005,0.1,2.0,0.002,200,False,0.9164049115146911,4.961912118097781e-33,1,,False
0.005,0.1,2.0,0.005,50,False,0.96148113968503,9.592626098005449e-05,2,0.9999999620271,True
0.005,0.1,2.0,0.005,100,False,0.8846151406235309,0.007383753755466673,3,1.0,True
0.005,0.1,2.0,0.005,200,False,0.5233988994264823,9.07654671603247e-33,1,,False
0.005,0.1,2.0,0.01,50,False,0.8574163370346954,6.45179678839585e-05,3,0.9799999615000143,True
0.005,0.1,2.0,0.01,100,False,0.5503860039544891,1.0725345188085372e-06,2,0.9999999837914082,True
0.005,0.1,2.0,0.01,200,True,0.20248210315580908,2.557729005694315e-32,1,,False
0.01,0.001,0.2,0.0,50,False,0.8719839577350698,2.0362430796046724e-08,2,0.9918249536577634,True
0.01,0.001,0.2,0.0,100,False,0.8912986989919005,2.2364861479196778e-33,1,,False
0.01,0.001,0.2,0.0,200,False,0.8455320342175773,1.9947448156977927e-08,2,0.9999987788419937,True
0.01,0.001,0.2,0.002,50,False,0.5404160119856872,6.328191210442751e-05,2,1.0,True
0.01,0.001,0.2,0.002,100,True,0.20211631512783423,7.41925440290807e-08,3,1.0,True
0.01,0.001,0.2,0.002,200,True,0.20152610615176741,3.8134359866788816e-09,4,1.0,True
0.01,0.001,0.2,0.005,50,True,0.21862305011792216,4.350248293458769e-08,2,0.999998383614114,True
0.01,0.001,0.2,0.005,100,True,0.2161593559613732,3.548165211420583e-09,3,1.0,True
0.01,0.001,0.2,0.005,200,True,0.21051572568479401,9.40335295347068e-33,1,,False
0.01,0.001,0.2,0.01,50,True,0.23358182639661304,1.0896146953024583e-08,2,1.0,True
0.01,0.001,0.2,0.01,100,True,0.22917927494540463,3.27691028152596e-08,2,1.0,True
0.01,0.001,0.2,0.01,200,True,0.23430518726120309,3.617137176802277e-33,1,,False
